,pendiente,VPL,coords,WGS84(GPS),date,time,H (%),T (C),V (m/s)
12,4.44444,0.0016719999999999999,"(697780.3298358256, 5832131.193475799)","(-72.75846896181625, -37.63668430394318)",2020-01-05,08:00,44.7772,9.21035,7.100289999999999
13,-26.666700000000006,0.005429,"(789196.6757736825, 5843357.360134143)","(-71.72814100733828, -37.511448990880574)",2016-12-24,10:00,61.7758,10.7553,5.04999
14,14.4444,0.0016719999999999999,"(669835.4272017997, 5732638.154118439)","(-73.05134650116561, -38.53846938131086)",2018-12-30,15:00,72.7322,4.42764,3.05196
15,3.33333,0.0037990000000000003,"(754452.1741992901, 5781294.936254909)","(-72.09895414182792, -38.08034977545389)",2020-02-18,14:00,15.7274,17.3085,9.12048
16,4.44444,0.013174000000000002,"(746168.6177397232, 5740574.70657482)","(-72.17913815580047, -38.44918956135603)",2016-02-13,08:00,94.0293,6.7923800000000005,3.29831
17,-10.0,0.0016719999999999999,"(709057.0629599863, 5844339.793255551)","(-72.63424563658103, -37.52423904348726)",2018-12-31,22:00,65.8427,13.6029,2.0434200000000002
18,-2.222200000000001,0.013174000000000002,"(713649.413731996, 5857949.329851925)","(-72.5862644278027, -37.40062358122071)",2016-03-15,17:00,15.7998,17.7333,4.2416
19,50.0,0.001556,"(790939.6308985068, 5885742.14336166)","(-71.7250619849254, -37.12947618928746)",2016-01-05,07:00,33.1272,18.0802,2.03914
20,-35.5556,0.004342,"(729243.5882506784, 5702925.773027412)","(-72.36048404010936, -38.792628145033355)",2020-02-24,18:00,75.8366,6.771139999999999,6.21001
21,61.1111,0.002712,"(815396.5168529557, 6012074.614758235)","(-71.50190538594099, -35.98481448206548)",2016-12-31,16:00,98.6854,10.5395,3.13908
22,26.6667,0.009777,"(695025.5369074583, 5840674.436325251)","(-72.7919450216833, -37.56032596028773)",2017-02-04,18:00,80.5055,9.59976,3.1531
23,42.2222,0.001325,"(785129.2273979515, 5852513.115410355)","(-71.77763414920376, -37.430317872955314)",2016-02-27,16:00,22.9476,13.3009,2.8906099999999997
24,-11.111099999999993,0.0016719999999999999,"(649443.3728987396, 5773212.140537123)","(-73.29381935281047, -38.176625891423356)",2016-03-17,21:00,68.094,4.81655,8.330060000000001
25,0.0,0.001556,"(680633.3262505463, 5822131.108793964)","(-72.95020583491079, -37.73029279769046)",2018-01-28,23:00,17.3633,17.5436,9.67699
26,43.3333,0.013174000000000002,"(674086.9377602474, 5773698.931048858)","(-73.01273041486445, -38.16781738573914)",2018-01-27,10:00,90.1284,8.71597,4.9826
27,32.2222,0.013174000000000002,"(646239.3459556913, 5768684.520614183)","(-73.32945304026725, -38.21793985248813)",2020-02-11,11:00,34.1069,17.3153,6.69838
28,32.2222,0.0032549999999999996,"(659225.4943094319, 5815995.773328597)","(-73.1916740945416, -37.78953817558041)",2015-12-25,17:00,25.3858,14.6828,2.15233
29,8.88889,0.0016719999999999999,"(695675.627016194, 5472317.957760901)","(-72.67775015349422, -40.87684775571707)",2016-01-04,20:00,80.0595,7.14468,8.06349
30,-41.1111,0.002134,"(719030.762874162, 5867996.219505654)","(-72.52848904500011, -37.30889020499959)",2020-01-09,19:00,67.2524,9.00576,3.51715
31,20.0,0.001325,"(761304.8078583129, 5795098.268409502)","(-72.02595155147625, -37.95415658229114)",2016-02-20,10:00,30.9432,18.3507,6.04625
32,-7.777799999999999,0.005973,"(667407.5272042619, 5835665.7410619585)","(-73.10331798038105, -37.61088069761564)",2016-02-28,08:00,23.1637,12.9555,4.46579
33,-20.0,0.005973,"(759932.6671226193, 5904324.916896229)","(-72.08007221810252, -36.97130993652633)",2018-01-17,14:00,18.5895,15.2543,7.95395
34,8.88889,0.01888,"(726907.261838059, 6069894.903110101)","(-72.49869051889118, -35.48859552104803)",2017-01-15,13:00,19.3448,16.4403,2.41142
35,2.22222,0.005429,"(717183.8443088353, 5798981.274052848)","(-72.52881365819458, -37.93081331353321)",2016-02-24,08:00,16.2787,15.1435,5.94677
36,-7.777799999999999,0.009777,"(761097.4996034858, 5726058.790200197)","(-72.00286139479853, -38.57558793446917)",2020-02-20,23:00,19.6069,21.214000000000002,15.5959
37,-30.0,0.0032549999999999996,"(708579.7423644358, 5893973.247814888)","(-72.6535792113477, -37.07733093393322)",2017-02-22,13:00,34.9174,22.8957,12.9276
38,57.7778,0.0024809999999999997,"(798393.1441537964, 5944825.096214008)","(-71.66450696149428, -36.595429252243534)",2018-02-03,12:00,76.7348,17.2912,1.09732
39,81.1111,0.001325,"(734852.2407274889, 6057547.618691155)","(-72.40760866054566, -35.597965613578246)",2017-12-28,08:00,8.340710000000001,17.2335,4.26092
40,-7.777799999999999,0.002712,"(737135.9510594454, 5903007.537043968)","(-72.33547900509063, -36.989193166114525)",2018-02-13,18:00,10.2356,21.1222,3.6041199999999995
41,58.8889,0.008147,"(777586.2419325106, 5788282.260687114)","(-71.83826242875055, -38.01066719417439)",2016-01-04,14:00,41.2988,14.3668,1.05589
42,0.0,0.005973,"(742251.9411394369, 5805020.092904442)","(-72.24589690544538, -37.870115189811656)",2019-02-19,22:00,95.8826,13.8437,3.9700800000000003
43,36.6667,0.005429,"(772309.9305304594, 5801656.72348815)","(-71.90334008512464, -37.89190017997203)",2015-12-30,22:00,60.4018,15.5854,3.8123699999999996
44,-64.4444,0.009777,"(684407.9314548044, 5849972.263736269)","(-72.91441447100155, -37.47876114072056)",2018-12-23,15:00,18.4032,15.7021,4.06086
45,13.3333,0.0032549999999999996,"(646047.9241882802, 5765190.158684619)","(-73.33091930011706, -38.24945063539245)",2016-01-20,23:00,24.4081,19.3766,1.98805
46,8.88889,0.0032549999999999996,"(777948.8585496366, 5816378.987584279)","(-71.84495524299852, -37.757704290038774)",2019-02-12,10:00,21.9234,16.7555,9.81752
47,4.44444,0.009777,"(749021.7884570932, 5751609.060384665)","(-72.15038563874093, -38.34907682769402)",2019-12-24,18:00,68.2366,6.7191399999999994,6.6486
48,4.44444,0.0024809999999999997,"(716411.3056538301, 5809535.772045229)","(-72.54076086018168, -37.835956964294226)",2015-12-21,21:00,74.3625,8.149560000000001,5.7314300000000005
49,-16.666700000000006,0.0024809999999999997,"(729904.4357138479, 5807521.321789416)","(-72.38693053676474, -37.850794089976986)",2019-12-24,18:00,75.432,6.577539999999999,6.37626
50,0.0,0.0024809999999999997,"(744852.7195300147, 5693734.880395504)","(-72.17768881114378, -38.87115623696169)",2020-01-25,18:00,76.4849,13.5055,8.09193
51,4.44444,0.0024809999999999997,"(753918.8289770855, 5908292.003483171)","(-72.14888383308721, -36.937234753890934)",2019-03-18,20:00,62.7949,7.40298,11.2213
52,-11.111099999999993,0.0032549999999999996,"(782134.4946232274, 5890591.293246323)","(-71.82585923346487, -37.08852772310811)",2019-12-29,06:00,43.6143,18.5707,1.46459
53,32.2222,0.005973,"(677574.0215618629, 5822213.118177131)","(-72.98492241319403, -37.73015253091043)",2018-02-07,22:00,62.5525,14.5199,3.17714
54,-16.666700000000006,0.0025960000000000002,"(646673.5656738441, 5761186.549560055)","(-73.3229427529743, -38.28541573726877)",2019-03-10,05:00,26.9989,20.9125,5.68275
55,-12.2222,0.013174000000000002,"(767732.6030560862, 5786146.728648004)","(-71.94954983997681, -38.032850213049265)",2019-02-16,18:00,97.9609,14.341,1.8360299999999998
56,-46.6667,0.0025960000000000002,"(650316.674585261, 5729970.728656198)","(-73.27462571334347, -38.566010256919085)",2020-03-08,13:00,13.1685,13.3266,2.46062
57,8.88889,0.001325,"(776764.9317809804, 5845056.763128193)","(-71.86923175167905, -37.499965064936234)",2018-12-27,18:00,51.4833,12.8588,2.5368
58,2.22222,0.004342,"(773904.4424673462, 5787164.005681173)","(-71.87971380669894, -38.0218505419025)",2020-01-16,10:00,5.10848,18.3339,10.1788
59,-6.666700000000006,0.0016719999999999999,"(761309.9956935369, 5831173.299836007)","(-72.0388915526171, -37.629440088337276)",2016-02-14,07:00,25.4098,12.1095,4.28466
60,-7.777799999999999,0.0016719999999999999,"(650117.7963022083, 5720173.85201565)","(-73.27479487532491, -38.65429286720613)",2018-12-28,19:00,59.6542,7.639060000000001,3.5238
61,33.3333,0.001009,"(685217.8265622109, 5855924.184099765)","(-72.90675565553711, -37.42498599080687)",2017-01-06,22:00,23.0219,16.0221,4.56358
62,21.1111,0.001325,"(681472.074943903, 5657291.618626221)","(-72.89800776586458, -39.21470703645665)",2020-01-21,23:00,20.5315,22.3515,9.45289
63,4.44444,0.005429,"(694016.148115188, 5470378.622789383)","(-72.69682392424012, -40.89469869821511)",2018-01-02,06:00,87.7875,4.70571,8.375760000000001
64,3.33333,0.0016719999999999999,"(701026.7090171737, 5829846.538945636)","(-72.72107387397058, -37.65655598755176)",2017-02-23,10:00,38.5446,23.9555,12.1521
65,-11.111099999999993,0.005429,"(765560.3348176347, 5816994.890320379)","(-71.98562172067807, -37.75584029440389)",2015-12-29,10:00,55.41,15.9557,2.7102
66,8.88889,0.013174000000000002,"(650171.2933083163, 5766066.072876142)","(-73.28400099136513, -38.24088043419209)",2019-01-03,05:00,12.7517,10.5292,12.1132
67,-5.555599999999998,0.005973,"(800123.7829681019, 5946338.103598061)","(-71.64578142341936, -36.58127011320783)",2018-02-01,11:00,27.3727,22.0434,2.75841
68,56.6667,0.0037990000000000003,"(780356.3808764846, 5882202.60364725)","(-71.84269821618182, -37.16456391026673)",2016-01-21,08:00,35.9549,20.3893,1.49273
69,-33.333299999999994,0.001325,"(699395.6765822939, 5463474.2963624215)","(-72.63079500861699, -40.955549490709885)",2020-02-06,10:00,65.0297,5.18398,1.7227299999999999
70,0.0,0.001325,"(763689.5099574274, 5808338.719975904)","(-72.00368278956729, -37.834294422638145)",2018-02-06,07:00,84.6158,15.4528,1.93632
71,0.0,0.013174000000000002,"(753952.0637401746, 5960951.9303466)","(-72.16598472921743, -36.4630883977084)",2019-12-25,08:00,9.078510000000001,11.8637,8.84937
72,17.7778,0.005973,"(737624.5756883036, 6070143.553353486)","(-72.38072885683917, -35.483849848018764)",2019-02-23,21:00,47.1037,15.7824,9.83845
73,13.3333,0.0016719999999999999,"(746510.8145559352, 5797108.787774557)","(-72.1948271896132, -37.94019240666075)",2018-12-30,05:00,75.3481,5.69424,3.887
74,-27.7778,0.0016719999999999999,"(655200.1722585472, 5842735.400590754)","(-73.2430597912561, -37.54932969992885)",2019-01-02,13:00,17.0286,7.75161,11.6717
75,8.88889,0.005973,"(745380.2027427846, 5683349.777921013)","(-72.16789977520895, -38.9644799491053)",2018-01-12,16:00,73.2038,11.2992,4.75358
76,-2.222200000000001,0.005973,"(731945.1515467343, 5887696.638609251)","(-72.38902515479869, -37.12836189137025)",2017-02-01,16:00,12.4108,17.7433,0.657258
77,4.44444,0.0016719999999999999,"(789830.409764649, 5850156.851394717)","(-71.72365755484994, -37.45006223021595)",2016-01-02,21:00,49.3079,17.8134,3.3745199999999995
78,-31.111099999999993,0.009777,"(697432.9556216369, 5838064.264857025)","(-72.76400433350527, -37.583322146320384)",2018-01-26,14:00,59.5549,10.5358,3.3283199999999997
79,-14.444400000000002,0.0037990000000000003,"(746131.7583083786, 5971754.559736322)","(-72.25659039591386, -36.3678512105863)",2018-01-10,22:00,54.9871,18.8375,2.037
80,-56.6667,0.0017870000000000002,"(773528.3546679113, 5801638.697326901)","(-71.88949629099203, -37.89169724540255)",2020-02-06,10:00,46.5027,10.8332,2.19571
81,6.66667,0.0025960000000000002,"(783846.3707894307, 5839382.784927666)","(-71.7870488250247, -37.54887844141761)",2019-02-18,19:00,73.0146,16.2169,4.51616
82,-7.777799999999999,0.0016719999999999999,"(780558.036493943, 5813081.3752187155)","(-71.81410546814091, -37.78658419344792)",2019-01-09,17:00,98.2815,4.73965,5.76162
83,8.88889,0.0025960000000000002,"(759370.4142164515, 5794009.593648063)","(-72.047548291525, -37.964510000261605)",2018-03-18,09:00,86.1032,3.4291,1.44097
84,17.7778,0.005429,"(719202.5114857351, 5820566.649618958)","(-72.5124035114657, -37.73596078654188)",2016-01-04,06:00,41.4121,13.7165,3.3273300000000003
85,-28.888900000000007,0.001325,"(738328.5244428979, 6066763.924423886)","(-72.37198471417591, -35.5141221807355)",2020-02-09,11:00,37.4962,20.1642,4.603280000000001
86,53.3333,0.0032549999999999996,"(723760.2333441711, 6064901.0423562685)","(-72.53197568994376, -35.534295648388714)",2016-01-14,20:00,9.68027,14.9137,4.3663300000000005
87,16.6667,0.0032549999999999996,"(659033.5275590611, 5750807.502326846)","(-73.17934450049043, -38.37680364780681)",2019-02-18,05:00,61.1816,14.8871,2.14438
88,-46.6667,0.002712,"(701379.4941895345, 5617319.09950529)","(-72.6555707602338, -39.57020132144368)",2019-03-19,15:00,71.4359,0.8045899999999999,8.097439999999999
89,2.22222,0.013174000000000002,"(698185.6425038752, 5752865.549490217)","(-72.73199291923557, -38.350455395347424)",2017-01-05,17:00,10.6957,14.4875,8.0606
90,26.6667,0.001556,"(791287.485343052, 5880230.39259103)","(-71.71900731276585, -37.17897038625777)",2017-01-29,11:00,14.75,20.8744,2.17103
91,4.44444,0.002134,"(738756.9187621465, 6060901.836788612)","(-72.36553807559591, -35.566819514944484)",2018-02-27,08:00,38.1762,15.7284,1.6379299999999999
92,36.6667,0.001325,"(725439.0402065548, 6065050.31555618)","(-72.51351587813099, -35.53257071698764)",2018-02-02,08:00,36.8455,20.455,3.2995400000000004
93,4.44444,0.0016719999999999999,"(700661.3594726556, 5684371.750466433)","(-72.68389342923949, -38.966661216918)",2016-01-12,12:00,95.79299999999999,7.0357899999999995,5.40219
94,-14.444400000000002,0.0024809999999999997,"(744379.6953016962, 6026295.588167364)","(-72.2930266316111, -35.87712285840527)",2017-01-19,09:00,14.4309,20.2387,7.825019999999999
95,8.88889,0.009777,"(730800.7250852564, 5822469.615651202)","(-72.38150919386064, -37.715976508535825)",2016-02-11,09:00,27.3547,14.3949,8.095419999999999
96,-7.777799999999999,0.013174000000000002,"(684708.556182525, 5935800.90978918)","(-72.9321414991547, -36.70552721054302)",2019-03-11,08:00,35.2464,14.9047,4.38647
97,-33.333299999999994,0.001325,"(676243.4770277345, 5827056.5271102395)","(-73.00118531356966, -37.68678093765285)",2018-01-10,17:00,44.7984,18.2765,0.936292
98,11.1111,0.006516,"(739221.2517937078, 5787716.355093446)","(-72.27456314273114, -38.02669761514856)",2016-03-10,19:00,34.8926,17.4772,1.78447
99,-10.0,0.005973,"(704646.7738519098, 5896166.652098227)","(-72.69838771061674, -37.058441736755455)",2016-02-06,17:00,59.1589,14.1688,1.10551
100,-13.333299999999994,0.0016719999999999999,"(799313.5721472563, 6090600.814908805)","(-71.70914383656363, -35.28303172365437)",2020-03-01,19:00,21.1438,19.2516,2.79185
101,-13.333299999999994,0.0016719999999999999,"(754821.567428529, 5787327.695257141)","(-72.09689506385867, -38.02594362709435)",2019-01-25,05:00,37.5571,17.1581,1.90275
102,4.44444,0.005429,"(741935.7606506211, 5814558.402222532)","(-72.25267560776797, -37.784328020283475)",2016-12-21,08:00,75.845,5.96816,4.65713
103,2.22222,0.005429,"(689967.3061921002, 5474955.984317377)","(-72.74625051438521, -40.854445429699446)",2017-01-17,08:00,46.4147,5.33145,6.3173900000000005
104,-20.0,0.0016719999999999999,"(699839.2445831439, 5816281.8978425)","(-72.73080065342751, -37.77898189130534)",2018-03-03,12:00,68.9278,13.1493,3.27455
105,-5.555599999999998,0.005429,"(746317.469312511, 5827061.2330956645)","(-72.20720597286738, -37.6706001368891)",2018-01-29,06:00,30.5234,19.975,5.69252
106,-15.555599999999998,0.0025960000000000002,"(675937.0713520325, 5744356.382912474)","(-72.98432020510221, -38.431742637651176)",2015-12-24,07:00,40.3048,6.42764,6.215380000000001
107,36.6667,0.0032549999999999996,"(673952.7204063858, 5687332.81425902)","(-72.99273710431027, -38.94570475011251)",2019-01-04,05:00,34.7684,13.4899,20.5775
108,-5.555599999999998,0.0024809999999999997,"(737066.1476453452, 5805139.659734298)","(-72.30483152543677, -37.87040267693699)",2018-03-04,23:00,28.918000000000003,11.7533,9.79606
109,-5.555599999999998,0.006516,"(756564.38529985, 5793917.319503453)","(-72.07941839151061, -37.96613761837687)",2017-12-22,07:00,30.1487,9.01309,5.20225
110,40.0,0.0016719999999999999,"(662838.115647411, 5796588.377956734)","(-73.14628739245704, -37.963730464306956)",2018-03-08,08:00,77.0828,13.922,0.7023659999999999
111,-52.2222,0.005973,"(783700.7225386873, 6065707.99538557)","(-71.87191571116153, -35.5116987680834)",2019-02-20,19:00,69.74600000000001,17.2846,0.419721
112,-52.2222,0.001556,"(696914.2408201267, 5814633.414305523)","(-72.76354341108068, -37.79446352296987)",2017-02-25,11:00,32.5226,22.8581,5.73769
113,2.22222,0.013174000000000002,"(725496.1340227062, 5888621.052573333)","(-72.46183317560941, -37.121613513893124)",2019-03-08,14:00,23.0067,16.8234,7.97232
114,13.3333,0.005973,"(677691.9016545889, 5729911.996566471)","(-72.96056110212281, -38.561487408742664)",2017-02-14,20:00,33.0855,17.9911,1.4716799999999999
115,17.7778,0.006516,"(776699.7765398136, 5844277.546601025)","(-71.86967469989493, -37.50699767565948)",2017-02-05,06:00,64.4161,10.8595,1.88506
116,0.0,0.006516,"(723170.0900872468, 5887143.501582759)","(-72.48755178689301, -37.13547717169124)",2020-01-07,11:00,46.6334,10.4352,3.4200800000000005
117,-6.666700000000006,0.001325,"(770872.6704631269, 5797293.005831393)","(-71.91802300573613, -37.93160218147901)",2017-02-18,08:00,82.7987,7.05703,9.54758
118,-5.555599999999998,0.0016719999999999999,"(720641.2542465413, 5869078.903994973)","(-72.51065371334816, -37.29875933621679)",2017-01-11,11:00,12.0828,14.7443,2.8491299999999997
119,4.44444,0.005429,"(726914.8430006785, 5801399.128153045)","(-72.4189538874005, -37.90666677800909)",2019-03-18,22:00,73.3838,3.75869,12.1859
120,0.0,0.001009,"(725373.042127383, 5887688.478808423)","(-72.46293697351616, -37.13004134127394)",2017-12-29,06:00,41.5231,15.922,3.28831
121,-5.555599999999998,0.0016719999999999999,"(669680.8109952833, 5721722.152443029)","(-73.05046192866158, -38.636816833071585)",2019-02-19,16:00,93.7162,12.5644,8.75975
122,0.0,0.0037990000000000003,"(711162.720320041, 5843392.449728019)","(-72.61016392570964, -37.53229100070165)",2018-03-02,18:00,65.2021,15.4967,2.17715
123,40.0,0.0016719999999999999,"(642896.086826702, 5800970.381149088)","(-73.37408330848635, -37.927609389364235)",2018-03-19,20:00,72.1061,7.8680699999999995,6.7275
124,-31.111099999999993,0.0025960000000000002,"(673174.6455178246, 5803175.6830157405)","(-73.03026533408898, -37.902481651472655)",2018-01-09,07:00,78.7536,13.9074,2.61786
125,13.3333,0.013174000000000002,"(741974.9519650952, 6057408.552449234)","(-72.32901902479486, -35.59750171326679)",2018-01-06,15:00,15.1888,18.4127,17.3658
126,6.66667,0.005429,"(696079.9803926412, 5799926.716262036)","(-72.7690209634447, -37.92709555474512)",2016-01-25,21:00,52.5816,12.8292,2.0379099999999997
127,-13.333299999999994,0.00869,"(689387.9693788422, 5769806.179980368)","(-72.8371366386781, -38.19979140151975)",2020-02-20,12:00,12.8781,18.9506,12.5975
128,8.88889,0.0032549999999999996,"(762693.3817703546, 5890544.640967998)","(-72.04428931642087, -37.09459868566768)",2019-12-31,22:00,43.8047,20.1303,2.9435700000000002
129,32.2222,0.006516,"(653777.5443668511, 5714149.30837859)","(-73.23141864990365, -38.70793149292479)",2020-02-25,05:00,79.9485,6.3807599999999995,5.8552599999999995
130,0.0,0.005429,"(768323.8289380193, 5836197.572739106)","(-71.96135539288551, -37.58219706610032)",2017-12-27,16:00,64.5314,13.0458,4.29115
131,-32.2222,0.005973,"(667255.335768469, 5834243.075763279)","(-73.10471600179332, -37.62372453678233)",2019-01-09,12:00,92.2771,3.9964800000000005,5.90104
132,22.2222,0.005973,"(764289.4225009566, 5801643.404618439)","(-71.99442580695886, -37.89438330645877)",2017-01-12,13:00,53.0427,16.7228,4.378340000000001
133,4.44444,0.005973,"(757297.0919573458, 5879481.6954445755)","(-72.1011328146258, -37.19569192303977)",2018-03-17,12:00,96.0816,7.68838,10.5022
134,-2.222200000000001,0.0025960000000000002,"(714593.5834424621, 5876038.895481049)","(-72.58083641848059, -37.2374931075766)",2020-03-05,05:00,21.7262,19.5104,15.113
135,-15.555599999999998,0.0017870000000000002,"(782035.4185672881, 5859922.039687965)","(-71.8153743901187, -37.364586256065486)",2017-02-18,14:00,71.2824,8.45229,3.74325
136,4.44444,0.005429,"(725582.4853419611, 5802645.611331269)","(-72.4344846817534, -37.89577472194008)",2018-12-27,23:00,68.1122,10.6923,8.035730000000001
137,4.44444,0.0016719999999999999,"(692882.9586505089, 5470539.995169368)","(-72.71031590728361, -40.893513943710346)",2018-01-12,08:00,47.7642,11.1457,4.5791
138,17.7778,0.0016719999999999999,"(656852.5935931082, 5748523.240271902)","(-73.20379192197612, -38.397765008608395)",2020-01-23,13:00,18.0965,16.4323,3.7134699999999996
139,8.88889,0.005973,"(736906.2315107265, 5682691.751362403)","(-72.26537009224066, -38.97273471717164)",2019-12-26,14:00,48.8035,8.92153,0.838058
140,8.88889,0.0024809999999999997,"(701196.7505335001, 5866747.749182507)","(-72.72923627842916, -37.324166033676285)",2016-12-23,14:00,32.8447,11.2655,2.79095
141,-26.666700000000006,0.002134,"(720661.376092912, 5771226.244182506)","(-72.48072259576793, -38.179885342916194)",2020-03-10,10:00,25.6775,19.3759,1.23412
142,4.44444,0.0016719999999999999,"(734968.7952297318, 5873707.963849748)","(-72.35062105426732, -37.25356851157535)",2019-01-10,22:00,21.1921,14.4433,0.940282
143,10.0,0.0032549999999999996,"(653860.0517859886, 5747828.982758506)","(-73.23789420947762, -38.40453894932713)",2020-02-14,06:00,33.765,7.996,3.92129
144,-32.2222,0.002134,"(666761.4189936899, 5658707.445707052)","(-73.06865631261371, -39.20490578300987)",2016-03-10,23:00,21.6898,15.5236,6.02977
145,-32.2222,0.0032549999999999996,"(690357.723280815, 5829932.527793524)","(-72.84196366309153, -37.65805575066294)",2019-02-21,08:00,78.4356,12.8393,2.78558
146,4.44444,0.002134,"(737411.8566122428, 5787270.739616481)","(-72.29500863359864, -38.031185287589615)",2018-01-25,19:00,70.1192,14.9396,3.30966
147,6.66667,0.006516,"(736869.239288447, 5789920.298299701)","(-72.30206000867442, -38.007473738270406)",2020-03-15,22:00,17.0478,17.4215,2.73933
148,4.44444,0.005973,"(734719.5193518614, 6074945.745231685)","(-72.41410690531859, -35.44128454651028)",2018-03-10,23:00,13.5751,12.5878,6.00285
149,8.88889,0.0024809999999999997,"(733735.5723259335, 5812017.474183251)","(-72.34488092656753, -37.80933916845926)",2016-02-24,17:00,14.3151,13.9401,4.54633
150,11.1111,0.006516,"(690376.2625221503, 5891233.546707472)","(-72.85752797297843, -37.1058840465949)",2017-02-02,19:00,32.1467,12.9557,2.93911
151,51.1111,0.005429,"(717835.252840308, 5808944.485246466)","(-72.52441530004683, -37.840942423136156)",2016-02-07,15:00,48.9498,14.8222,2.67976
152,-73.33330000000001,0.0025960000000000002,"(665297.4937725009, 5746379.524647031)","(-73.10662829619652, -38.41555264138577)",2017-02-25,13:00,26.5009,23.0636,9.43414
153,8.88889,0.0032549999999999996,"(716146.764817699, 5881181.9326575585)","(-72.56483143438481, -37.19081635001925)",2017-02-25,07:00,32.8633,20.9198,6.696960000000001
154,45.5556,0.0024809999999999997,"(781632.3635897598, 6033715.643633422)","(-71.88351044977446, -35.80031922553128)",2016-03-04,06:00,37.9924,18.4894,1.24543
155,-41.1111,0.0025960000000000002,"(707665.6195702364, 5721957.933485179)","(-72.61442705308707, -38.62661045550911)",2017-12-29,15:00,85.6135,10.0761,6.564360000000001
156,7.77778,0.001325,"(786411.8429223638, 5882907.221561528)","(-71.77487032497343, -37.15638671857555)",2019-12-27,08:00,23.127,16.5939,0.9319299999999999
157,48.8889,0.001325,"(677408.0335181513, 5838643.9980101725)","(-72.99079881803979, -37.58217763389859)",2017-02-09,12:00,39.0959,9.38906,4.72536
158,-57.7778,0.0016719999999999999,"(657763.4830272873, 5818427.4105537245)","(-73.20879951806162, -37.76788562263211)",2017-03-19,15:00,24.6125,12.4447,1.3088899999999999
159,4.44444,0.0037990000000000003,"(648555.9644412864, 5775096.990897827)","(-73.30434021807983, -38.15979261934201)",2020-03-02,12:00,42.0498,18.0265,3.37354
160,-13.333299999999994,0.005429,"(694246.6960848945, 5818299.040617485)","(-72.79480076056291, -37.76201999975371)",2016-02-08,13:00,34.1917,13.6537,4.54962
161,6.66667,0.0016719999999999999,"(647630.0462146917, 5770911.987930256)","(-73.3140359286463, -38.19764621494841)",2016-12-25,15:00,88.868,6.31851,7.39255
162,0.0,0.0037990000000000003,"(770800.1593036194, 5881354.072468092)","(-71.94986920335404, -37.175019370463744)",2019-03-20,18:00,10.7782,15.5143,1.30803
163,81.0,0.0032549999999999996,"(636113.6394644849, 5743140.742664705)","(-73.44015504346366, -38.44965392374973)",2019-03-14,11:00,21.9376,9.84048,11.999
164,6.66667,0.005429,"(775878.9488880505, 5847745.337172679)","(-71.88024784376617, -37.47603221963098)",2020-03-01,15:00,55.4429,18.5541,3.11363
165,-5.555599999999998,0.005429,"(756073.4883409053, 5764035.165964977)","(-72.07428533142357, -38.2352457452824)",2020-01-24,10:00,18.4206,16.0277,8.90578
166,47.7778,0.0037990000000000003,"(705955.0706323172, 5742678.371016392)","(-72.64016759694077, -38.44043432432854)",2017-02-10,21:00,39.1685,14.6388,7.6883
167,2.22222,0.0032549999999999996,"(714546.1633651605, 5881149.060257191)","(-72.58284011517183, -37.19148159467739)",2018-12-27,12:00,27.3069,10.0526,1.57249
